"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Insgesamt","Tausend Personen","Insgesamt","14.847",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Insgesamt","Tausend Personen","Männer","7.596",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Insgesamt","Tausend Personen","Frauen","7.251",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Insgesamt","Anteil der Erwerbspersonen","Insgesamt","7,0",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Insgesamt","Anteil der Erwerbspersonen","Männer","6,6",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Insgesamt","Anteil der Erwerbspersonen","Frauen","7,4",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Weniger als 25 Jahre","Tausend Personen","Insgesamt","2.833",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Weniger als 25 Jahre","Tausend Personen","Männer","1.570",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Weniger als 25 Jahre","Tausend Personen","Frauen","1.263",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Weniger als 25 Jahre","Anteil der Erwerbspersonen","Insgesamt","15,5",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Weniger als 25 Jahre","Anteil der Erwerbspersonen","Männer","15,7",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","Weniger als 25 Jahre","Anteil der Erwerbspersonen","Frauen","15,4",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","25 bis 74 Jahre","Tausend Personen","Insgesamt","12.014",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","25 bis 74 Jahre","Tausend Personen","Männer","6.026",""
"2019M01","Europäische Union - 27 Länder (ab 2020)","Saisonbereinigte Daten, nicht kalenderbereinigte Daten","25 bis 74 Jahre","Tausend Personen","Frauen","5.988",""
